gu_name,waiting_personal_num ,waiting_company_num ,profit ,visited_personal_num ,visited_company_num ,Date 
성북구,25,11,439,26,11,"Tuesday, July 26, 2022"
종로구,63,17,478,78,11,"Saturday, August 6, 2022"
영등포구,24,19,505,61,8,"Friday, August 5, 2022"
관악구,44,12,463,52,11,"Friday, August 5, 2022"
강동구,58,14,432,76,7,"Sunday, August 7, 2022"
송파구,49,17,420,76,10,"Friday, July 29, 2022"
관악구,39,11,597,44,7,"Friday, July 29, 2022"
금천구,67,8,428,56,12,"Sunday, August 7, 2022"
구로구,28,7,537,52,9,"Thursday, July 28, 2022"
마포구,42,12,568,20,7,"Wednesday, July 27, 2022"
강남구,26,9,463,68,7,"Saturday, August 6, 2022"
서초구,67,18,584,28,6,"Saturday, August 6, 2022"
동작구,21,17,568,63,9,"Sunday, August 7, 2022"
은평구,60,17,589,79,9,"Tuesday, July 26, 2022"
중랑구,43,10,573,65,5,"Wednesday, July 27, 2022"
강동구,60,9,462,78,8,"Tuesday, July 26, 2022"
송파구,52,11,538,39,5,"Sunday, August 7, 2022"
관악구,77,17,472,69,9,"Sunday, July 31, 2022"
금천구,50,9,541,59,8,"Sunday, July 31, 2022"
구로구,52,15,480,71,6,"Sunday, July 31, 2022"
마포구,68,6,454,73,11,"Friday, July 29, 2022"
서대문구,23,18,536,69,10,"Wednesday, July 27, 2022"
중구,36,18,407,32,11,"Sunday, August 7, 2022"
성북구,29,7,521,74,11,"Monday, August 1, 2022"
종로구,52,14,511,44,5,"Sunday, August 7, 2022"
영등포구,42,16,417,33,10,"Sunday, August 7, 2022"
관악구,34,14,460,37,13,"Wednesday, July 27, 2022"
강동구,58,8,432,30,10,"Monday, July 25, 2022"
송파구,35,18,570,25,13,"Thursday, July 28, 2022"
관악구,78,19,505,60,7,"Friday, August 5, 2022"
금천구,71,9,523,43,6,"Tuesday, August 2, 2022"
구로구,23,8,422,21,6,"Friday, August 5, 2022"
마포구,38,8,528,22,9,"Sunday, July 31, 2022"
강남구,66,19,580,38,12,"Tuesday, August 2, 2022"
서초구,22,18,538,36,8,"Saturday, July 30, 2022"
동작구,61,19,546,61,8,"Saturday, August 6, 2022"
은평구,37,17,544,29,5,"Sunday, August 7, 2022"
중랑구,46,16,479,48,13,"Monday, July 25, 2022"
강동구,36,6,544,35,6,"Friday, August 5, 2022"
송파구,67,7,513,22,8,"Thursday, August 4, 2022"
관악구,65,18,570,65,6,"Monday, August 1, 2022"
금천구,75,8,412,61,8,"Wednesday, July 27, 2022"
구로구,26,6,532,74,13,"Friday, July 29, 2022"
마포구,23,11,463,58,11,"Monday, July 25, 2022"
서대문구,60,13,561,31,9,"Wednesday, August 3, 2022"
중구,33,7,548,43,11,"Friday, August 5, 2022"
성북구,61,17,578,51,6,"Sunday, August 7, 2022"
종로구,59,9,505,79,5,"Thursday, August 4, 2022"
영등포구,32,18,506,78,5,"Thursday, August 4, 2022"
관악구,23,15,538,50,13,"Sunday, August 7, 2022"
강동구,46,8,479,71,9,"Friday, August 5, 2022"
송파구,77,9,414,79,9,"Monday, July 25, 2022"
관악구,36,16,552,27,11,"Wednesday, August 3, 2022"
금천구,41,8,476,53,11,"Monday, July 25, 2022"
구로구,62,11,491,64,8,"Saturday, August 6, 2022"
마포구,25,6,426,58,12,"Saturday, July 30, 2022"
강남구,78,10,496,62,5,"Friday, August 5, 2022"
서초구,54,11,498,21,13,"Tuesday, July 26, 2022"
동작구,39,13,477,71,7,"Thursday, August 4, 2022"
은평구,74,16,473,20,8,"Thursday, August 4, 2022"
중랑구,21,19,459,59,13,"Monday, July 25, 2022"
강동구,62,7,414,20,5,"Thursday, August 4, 2022"
송파구,71,7,597,62,6,"Saturday, July 30, 2022"
관악구,59,14,408,65,7,"Sunday, August 7, 2022"
금천구,71,15,505,39,13,"Tuesday, July 26, 2022"
구로구,51,18,528,56,11,"Sunday, July 31, 2022"
마포구,26,10,559,75,9,"Wednesday, July 27, 2022"
서대문구,47,19,569,26,13,"Monday, August 1, 2022"
중구,76,13,429,74,8,"Saturday, July 30, 2022"
성북구,74,6,559,53,9,"Friday, July 29, 2022"
종로구,33,19,444,41,12,"Thursday, August 4, 2022"
영등포구,66,11,587,25,12,"Saturday, July 30, 2022"
관악구,65,8,573,43,6,"Thursday, August 4, 2022"
강동구,71,18,492,53,5,"Monday, July 25, 2022"
송파구,78,14,544,44,9,"Tuesday, August 2, 2022"
관악구,78,17,439,43,7,"Wednesday, July 27, 2022"
금천구,41,17,553,47,5,"Wednesday, July 27, 2022"
구로구,42,8,476,72,11,"Friday, July 29, 2022"
마포구,61,10,546,34,12,"Wednesday, July 27, 2022"
강남구,78,12,530,38,11,"Wednesday, August 3, 2022"
서초구,60,13,495,50,12,"Saturday, August 6, 2022"
동작구,73,7,406,72,8,"Sunday, August 7, 2022"
은평구,78,7,403,55,13,"Friday, August 5, 2022"
중랑구,35,7,507,60,9,"Friday, August 5, 2022"
강동구,35,8,499,69,9,"Tuesday, August 2, 2022"
송파구,65,7,408,63,12,"Sunday, July 31, 2022"
관악구,60,7,506,58,5,"Thursday, July 28, 2022"
금천구,34,9,515,33,7,"Tuesday, July 26, 2022"
구로구,48,8,516,42,6,"Saturday, July 30, 2022"
마포구,23,13,438,23,13,"Wednesday, July 27, 2022"
서대문구,36,14,411,33,5,"Tuesday, July 26, 2022"
중구,55,13,572,75,10,"Thursday, August 4, 2022"
성북구,35,10,575,28,13,"Sunday, July 31, 2022"
종로구,75,8,457,45,7,"Friday, July 29, 2022"
영등포구,78,9,426,49,12,"Monday, July 25, 2022"
관악구,56,7,588,47,10,"Wednesday, August 3, 2022"
강동구,40,7,529,55,8,"Thursday, July 28, 2022"
송파구,25,8,461,54,5,"Thursday, August 4, 2022"
관악구,25,16,487,70,6,"Saturday, August 6, 2022"
금천구,77,12,514,57,9,"Monday, August 1, 2022"
구로구,73,11,561,72,7,"Thursday, July 28, 2022"
마포구,66,6,424,30,7,"Tuesday, July 26, 2022"
강남구,33,13,597,65,6,"Thursday, July 28, 2022"
서초구,44,12,533,66,13,"Sunday, July 31, 2022"
동작구,33,8,490,30,11,"Wednesday, July 27, 2022"
은평구,50,16,435,46,13,"Wednesday, August 3, 2022"
중랑구,63,7,434,53,7,"Tuesday, July 26, 2022"
강동구,35,19,416,60,6,"Sunday, August 7, 2022"
송파구,50,6,548,66,12,"Tuesday, August 2, 2022"
관악구,78,19,492,79,6,"Monday, August 1, 2022"
금천구,75,15,591,41,5,"Tuesday, July 26, 2022"
구로구,24,17,531,31,8,"Tuesday, August 2, 2022"
마포구,38,19,469,53,9,"Tuesday, July 26, 2022"
서대문구,20,9,557,52,7,"Friday, August 5, 2022"
중구,59,7,592,59,5,"Monday, July 25, 2022"
성북구,67,16,511,72,13,"Wednesday, July 27, 2022"
종로구,68,11,434,69,11,"Sunday, August 7, 2022"
영등포구,68,13,513,71,8,"Friday, July 29, 2022"
관악구,43,15,582,36,9,"Sunday, July 31, 2022"
강동구,29,7,460,58,8,"Wednesday, July 27, 2022"
송파구,55,17,482,20,7,"Friday, July 29, 2022"
관악구,62,18,483,36,5,"Monday, August 1, 2022"
금천구,48,13,562,60,13,"Saturday, August 6, 2022"
구로구,30,8,439,43,8,"Friday, July 29, 2022"
마포구,50,11,477,57,11,"Friday, July 29, 2022"
강남구,75,18,413,64,8,"Monday, August 1, 2022"
서초구,76,18,576,53,8,"Monday, July 25, 2022"
동작구,35,10,496,24,11,"Friday, August 5, 2022"
은평구,22,17,568,48,10,"Friday, August 5, 2022"
중랑구,52,12,552,58,10,"Monday, August 1, 2022"
강동구,59,19,599,41,13,"Thursday, July 28, 2022"
송파구,46,17,429,34,11,"Wednesday, August 3, 2022"
관악구,59,12,451,24,10,"Wednesday, August 3, 2022"
금천구,35,14,536,78,6,"Tuesday, July 26, 2022"
구로구,44,15,582,55,6,"Saturday, August 6, 2022"
마포구,32,10,542,23,9,"Sunday, August 7, 2022"
서대문구,24,14,468,37,10,"Friday, August 5, 2022"
중구,28,12,527,20,11,"Friday, July 29, 2022"
성북구,30,6,465,43,5,"Tuesday, July 26, 2022"
종로구,37,8,428,64,10,"Monday, July 25, 2022"
영등포구,44,7,406,26,8,"Tuesday, July 26, 2022"
관악구,32,8,507,41,5,"Thursday, August 4, 2022"
강동구,67,15,503,32,9,"Wednesday, July 27, 2022"
송파구,20,11,579,57,13,"Friday, July 29, 2022"
관악구,78,7,544,33,11,"Wednesday, July 27, 2022"
금천구,38,18,420,44,12,"Friday, July 29, 2022"
구로구,35,8,531,71,6,"Saturday, July 30, 2022"
마포구,26,14,442,31,12,"Monday, August 1, 2022"
강남구,45,13,599,38,5,"Friday, August 5, 2022"
서초구,64,14,519,53,11,"Thursday, August 4, 2022"
동작구,79,7,588,40,13,"Sunday, August 7, 2022"
은평구,24,7,427,52,7,"Friday, August 5, 2022"
중랑구,64,19,426,70,13,"Sunday, July 31, 2022"
강동구,72,13,563,47,10,"Sunday, July 31, 2022"
송파구,32,7,513,20,10,"Monday, July 25, 2022"
관악구,73,8,455,65,8,"Friday, July 29, 2022"
금천구,32,8,425,48,5,"Sunday, July 31, 2022"
구로구,34,14,507,60,7,"Thursday, July 28, 2022"
마포구,26,16,477,23,5,"Wednesday, July 27, 2022"
서대문구,68,7,439,49,8,"Wednesday, August 3, 2022"
중구,63,16,413,24,6,"Wednesday, August 3, 2022"
성북구,21,9,573,23,12,"Saturday, July 30, 2022"
종로구,78,8,412,76,10,"Monday, August 1, 2022"
영등포구,35,16,444,70,10,"Friday, July 29, 2022"
관악구,38,6,521,62,9,"Monday, August 1, 2022"
강동구,45,16,462,68,9,"Sunday, July 31, 2022"
송파구,73,16,434,50,12,"Monday, July 25, 2022"
관악구,77,8,530,52,12,"Monday, August 1, 2022"
금천구,52,9,540,50,13,"Wednesday, August 3, 2022"
구로구,47,12,440,67,7,"Sunday, July 31, 2022"
마포구,24,17,430,53,12,"Tuesday, July 26, 2022"
강남구,53,18,588,66,11,"Saturday, August 6, 2022"
서초구,29,11,565,49,6,"Tuesday, July 26, 2022"
동작구,54,8,578,31,5,"Sunday, July 31, 2022"
은평구,66,19,496,57,11,"Saturday, August 6, 2022"
중랑구,42,15,553,38,7,"Friday, July 29, 2022"
강동구,58,14,528,22,12,"Friday, July 29, 2022"
송파구,69,11,562,49,11,"Tuesday, August 2, 2022"
관악구,41,13,530,74,9,"Saturday, July 30, 2022"
금천구,29,9,575,56,10,"Thursday, August 4, 2022"
구로구,32,16,426,28,9,"Monday, August 1, 2022"
마포구,24,18,599,30,7,"Tuesday, August 2, 2022"
서대문구,38,16,407,36,12,"Monday, August 1, 2022"
중구,79,8,559,23,5,"Thursday, July 28, 2022"
성북구,73,9,411,26,12,"Saturday, July 30, 2022"
종로구,65,19,596,37,8,"Friday, July 29, 2022"
영등포구,47,19,582,57,9,"Sunday, July 31, 2022"
관악구,57,6,576,64,5,"Sunday, July 31, 2022"
강동구,63,8,572,58,7,"Wednesday, August 3, 2022"
송파구,77,15,575,49,5,"Friday, August 5, 2022"
관악구,23,9,533,54,9,"Friday, August 5, 2022"
금천구,54,6,586,50,11,"Sunday, August 7, 2022"
구로구,71,17,523,34,10,"Thursday, August 4, 2022"
마포구,23,7,589,23,6,"Saturday, July 30, 2022"
강남구,42,8,538,24,6,"Monday, July 25, 2022"
서초구,23,12,598,75,7,"Friday, August 5, 2022"
동작구,35,17,539,76,5,"Friday, August 5, 2022"
은평구,31,13,559,52,13,"Wednesday, July 27, 2022"
중랑구,37,16,522,57,11,"Tuesday, July 26, 2022"
강동구,43,7,576,27,6,"Monday, August 1, 2022"
송파구,45,12,414,70,11,"Friday, August 5, 2022"
관악구,20,13,501,69,5,"Saturday, July 30, 2022"
금천구,34,14,423,56,5,"Wednesday, August 3, 2022"
구로구,38,6,463,35,13,"Tuesday, August 2, 2022"
마포구,21,12,421,69,12,"Friday, July 29, 2022"
서대문구,62,13,411,49,8,"Tuesday, August 2, 2022"
중구,55,17,482,44,6,"Wednesday, August 3, 2022"
성북구,59,16,509,74,8,"Wednesday, August 3, 2022"
종로구,67,11,566,66,9,"Tuesday, July 26, 2022"
영등포구,32,17,528,61,10,"Wednesday, August 3, 2022"
관악구,20,14,451,46,7,"Friday, July 29, 2022"
강동구,40,17,435,44,9,"Thursday, August 4, 2022"
송파구,71,17,459,37,10,"Thursday, July 28, 2022"
관악구,59,19,430,71,13,"Monday, August 1, 2022"
금천구,71,10,423,50,11,"Monday, July 25, 2022"
구로구,36,17,453,74,6,"Thursday, August 4, 2022"
마포구,39,16,597,79,7,"Sunday, August 7, 2022"
강남구,79,12,564,59,8,"Tuesday, August 2, 2022"
서초구,66,10,422,34,7,"Wednesday, July 27, 2022"
동작구,44,16,558,45,5,"Saturday, August 6, 2022"
은평구,24,18,419,27,12,"Friday, July 29, 2022"
중랑구,38,14,484,59,7,"Monday, August 1, 2022"
강동구,75,7,482,67,12,"Friday, July 29, 2022"
송파구,61,14,481,74,6,"Wednesday, August 3, 2022"
관악구,45,14,496,67,11,"Friday, July 29, 2022"
금천구,25,16,497,36,6,"Monday, July 25, 2022"
구로구,68,9,404,67,10,"Tuesday, August 2, 2022"
마포구,53,11,491,64,7,"Wednesday, August 3, 2022"
서대문구,34,7,477,24,9,"Monday, July 25, 2022"
중구,30,11,472,41,11,"Tuesday, August 2, 2022"
성북구,65,14,598,71,6,"Friday, August 5, 2022"
종로구,71,10,493,69,9,"Sunday, July 31, 2022"
영등포구,34,16,546,20,12,"Thursday, July 28, 2022"
관악구,22,8,539,72,11,"Wednesday, August 3, 2022"
강동구,43,11,595,53,6,"Saturday, August 6, 2022"
송파구,21,10,574,75,11,"Thursday, August 4, 2022"
관악구,54,16,562,63,11,"Wednesday, August 3, 2022"
금천구,64,19,529,67,9,"Monday, August 1, 2022"
구로구,48,15,513,71,8,"Wednesday, August 3, 2022"
마포구,54,7,497,77,11,"Saturday, August 6, 2022"
강남구,40,15,529,38,6,"Thursday, July 28, 2022"
서초구,43,9,581,38,10,"Sunday, July 31, 2022"
동작구,37,15,462,26,9,"Tuesday, August 2, 2022"
은평구,20,17,454,65,13,"Wednesday, August 3, 2022"
중랑구,75,8,501,37,9,"Tuesday, August 2, 2022"
강동구,32,9,494,22,12,"Monday, July 25, 2022"
송파구,74,9,431,20,11,"Friday, July 29, 2022"
관악구,71,14,455,35,13,"Wednesday, August 3, 2022"
금천구,57,6,440,63,9,"Wednesday, August 3, 2022"
구로구,37,19,400,33,5,"Sunday, July 31, 2022"
마포구,46,18,480,29,12,"Wednesday, July 27, 2022"
서대문구,54,19,462,67,6,"Monday, August 1, 2022"
중구,74,8,540,48,6,"Sunday, July 31, 2022"
성북구,22,14,526,69,11,"Monday, August 1, 2022"
종로구,26,12,441,23,6,"Friday, August 5, 2022"
영등포구,34,13,551,47,11,"Saturday, August 6, 2022"
관악구,21,19,540,78,8,"Tuesday, August 2, 2022"
강동구,52,16,445,67,12,"Friday, August 5, 2022"
송파구,38,17,404,74,13,"Sunday, August 7, 2022"
관악구,57,14,587,65,13,"Tuesday, July 26, 2022"
금천구,57,7,423,57,7,"Wednesday, August 3, 2022"
구로구,29,12,535,77,7,"Thursday, July 28, 2022"
마포구,33,7,598,62,13,"Friday, August 5, 2022"
강남구,30,17,568,28,9,"Saturday, August 6, 2022"
서초구,52,15,509,41,6,"Monday, July 25, 2022"
동작구,20,15,467,60,9,"Thursday, July 28, 2022"
은평구,46,18,443,39,11,"Wednesday, July 27, 2022"
중랑구,58,6,582,66,10,"Wednesday, August 3, 2022"
강동구,34,18,582,78,6,"Monday, July 25, 2022"
송파구,54,12,449,55,12,"Sunday, July 31, 2022"
관악구,24,9,592,42,10,"Wednesday, August 3, 2022"
금천구,32,9,418,61,11,"Saturday, August 6, 2022"
구로구,73,12,541,31,10,"Friday, August 5, 2022"
마포구,74,6,430,45,11,"Wednesday, August 3, 2022"
서대문구,79,18,455,33,6,"Friday, July 29, 2022"
중구,41,18,563,42,7,"Friday, August 5, 2022"
성북구,79,18,514,27,10,"Sunday, July 31, 2022"
종로구,64,16,509,45,11,"Thursday, August 4, 2022"
영등포구,73,15,468,41,5,"Wednesday, July 27, 2022"
관악구,32,13,557,40,5,"Monday, August 1, 2022"
강동구,72,18,442,70,10,"Wednesday, July 27, 2022"
송파구,25,19,428,22,13,"Sunday, August 7, 2022"
관악구,27,14,560,44,13,"Friday, July 29, 2022"
금천구,21,11,538,22,7,"Thursday, August 4, 2022"
구로구,77,6,420,29,12,"Wednesday, August 3, 2022"
마포구,28,8,514,70,11,"Tuesday, August 2, 2022"
강남구,34,12,589,75,11,"Tuesday, July 26, 2022"
서초구,20,6,542,41,7,"Saturday, July 30, 2022"
동작구,44,19,558,27,13,"Friday, August 5, 2022"
은평구,70,8,536,23,5,"Tuesday, July 26, 2022"
중랑구,50,6,469,78,8,"Friday, July 29, 2022"
강동구,62,16,567,29,8,"Monday, July 25, 2022"
송파구,53,7,508,27,5,"Wednesday, August 3, 2022"
관악구,38,19,599,54,13,"Friday, August 5, 2022"
금천구,23,12,516,48,8,"Sunday, July 31, 2022"
구로구,46,15,568,58,12,"Sunday, July 31, 2022"
마포구,50,11,599,60,6,"Sunday, July 31, 2022"
서대문구,22,7,570,79,12,"Friday, July 29, 2022"
중구,52,6,534,24,8,"Saturday, August 6, 2022"
성북구,49,15,422,50,10,"Monday, July 25, 2022"
종로구,57,11,459,28,9,"Monday, July 25, 2022"
영등포구,42,12,579,49,7,"Wednesday, August 3, 2022"
관악구,61,12,405,26,6,"Thursday, August 4, 2022"
강동구,44,13,516,68,9,"Sunday, August 7, 2022"
송파구,70,11,512,56,6,"Tuesday, August 2, 2022"
관악구,41,19,489,46,6,"Tuesday, July 26, 2022"
금천구,55,13,434,53,13,"Monday, July 25, 2022"
구로구,45,13,584,77,11,"Sunday, July 31, 2022"
마포구,35,7,458,45,7,"Wednesday, July 27, 2022"
강남구,35,19,476,49,10,"Thursday, August 4, 2022"
서초구,56,9,484,52,7,"Tuesday, August 2, 2022"
동작구,21,11,444,20,9,"Tuesday, August 2, 2022"
은평구,27,8,457,21,11,"Wednesday, July 27, 2022"
중랑구,69,19,595,31,8,"Tuesday, August 2, 2022"
강동구,59,16,569,60,5,"Thursday, August 4, 2022"
송파구,36,9,482,64,9,"Tuesday, August 2, 2022"
관악구,78,14,500,35,5,"Tuesday, July 26, 2022"
금천구,51,17,597,55,12,"Thursday, July 28, 2022"
구로구,71,12,431,50,8,"Monday, July 25, 2022"
마포구,29,7,491,41,6,"Monday, July 25, 2022"
서대문구,64,11,543,63,10,"Saturday, July 30, 2022"
중구,44,15,480,29,8,"Tuesday, July 26, 2022"
성북구,68,12,444,49,9,"Thursday, August 4, 2022"
종로구,22,8,538,78,13,"Wednesday, August 3, 2022"
영등포구,51,7,560,63,7,"Thursday, July 28, 2022"
관악구,47,6,543,40,13,"Sunday, August 7, 2022"
강동구,49,9,578,79,9,"Thursday, August 4, 2022"
송파구,33,12,553,64,10,"Wednesday, August 3, 2022"
관악구,30,7,451,79,8,"Wednesday, July 27, 2022"
금천구,68,15,437,63,13,"Monday, July 25, 2022"
구로구,24,13,535,24,12,"Sunday, August 7, 2022"
마포구,69,16,480,20,6,"Tuesday, July 26, 2022"
강남구,47,12,575,65,12,"Wednesday, August 3, 2022"
서초구,67,12,497,62,12,"Monday, August 1, 2022"
동작구,42,7,451,35,11,"Monday, August 1, 2022"
은평구,49,17,504,24,12,"Tuesday, July 26, 2022"
중랑구,50,10,539,20,7,"Thursday, August 4, 2022"
강동구,46,7,584,72,11,"Tuesday, July 26, 2022"
송파구,51,8,546,41,9,"Monday, August 1, 2022"
관악구,79,16,537,44,8,"Friday, July 29, 2022"
금천구,56,11,575,52,12,"Friday, July 29, 2022"
구로구,29,14,423,44,7,"Thursday, July 28, 2022"
마포구,70,8,557,31,8,"Saturday, August 6, 2022"
서대문구,61,6,536,57,13,"Saturday, August 6, 2022"
중구,73,19,482,46,7,"Thursday, August 4, 2022"
성북구,31,14,489,44,5,"Wednesday, August 3, 2022"
종로구,77,12,587,20,6,"Friday, July 29, 2022"
영등포구,52,13,536,35,5,"Tuesday, July 26, 2022"
관악구,73,11,584,22,13,"Sunday, August 7, 2022"
강동구,37,9,586,21,10,"Friday, August 5, 2022"
송파구,34,18,569,26,13,"Thursday, August 4, 2022"
관악구,23,19,504,42,7,"Wednesday, August 3, 2022"
금천구,64,18,506,76,12,"Saturday, August 6, 2022"
구로구,69,13,580,70,5,"Wednesday, August 3, 2022"
마포구,76,16,499,28,5,"Wednesday, July 27, 2022"
강남구,43,18,588,36,6,"Monday, August 1, 2022"
서초구,33,10,401,76,11,"Wednesday, August 3, 2022"
동작구,79,8,573,70,5,"Sunday, July 31, 2022"
은평구,31,14,578,43,12,"Friday, August 5, 2022"
중랑구,34,13,473,41,11,"Tuesday, August 2, 2022"
강동구,52,19,412,70,9,"Friday, August 5, 2022"
송파구,45,13,574,46,6,"Thursday, July 28, 2022"
관악구,53,17,491,32,7,"Wednesday, August 3, 2022"
금천구,72,14,498,35,10,"Sunday, August 7, 2022"
구로구,34,11,411,22,9,"Thursday, August 4, 2022"
마포구,46,17,478,28,6,"Thursday, August 4, 2022"
서대문구,24,10,533,40,9,"Wednesday, July 27, 2022"
중구,42,8,579,74,9,"Tuesday, August 2, 2022"
성북구,67,13,470,62,7,"Tuesday, July 26, 2022"
종로구,34,16,503,63,9,"Sunday, August 7, 2022"
영등포구,36,18,573,72,12,"Sunday, July 31, 2022"
관악구,54,13,460,68,12,"Tuesday, July 26, 2022"
강동구,74,11,411,51,5,"Tuesday, August 2, 2022"
송파구,76,15,538,74,6,"Tuesday, August 2, 2022"
관악구,62,18,538,74,8,"Thursday, August 4, 2022"
금천구,36,12,571,42,9,"Sunday, July 31, 2022"
구로구,31,16,559,36,7,"Saturday, August 6, 2022"
마포구,39,15,465,62,9,"Friday, August 5, 2022"
강남구,45,19,589,40,8,"Sunday, July 31, 2022"
서초구,47,13,428,32,5,"Saturday, July 30, 2022"
동작구,37,12,530,69,12,"Monday, July 25, 2022"
은평구,21,13,595,20,7,"Monday, July 25, 2022"
중랑구,54,17,462,41,5,"Saturday, August 6, 2022"
강동구,65,7,524,74,10,"Friday, July 29, 2022"
송파구,45,14,438,72,9,"Wednesday, August 3, 2022"
관악구,52,12,447,27,12,"Tuesday, August 2, 2022"
금천구,77,19,479,64,9,"Tuesday, July 26, 2022"
구로구,42,7,586,60,8,"Monday, August 1, 2022"
마포구,56,15,463,59,13,"Friday, August 5, 2022"
서대문구,52,14,463,21,7,"Tuesday, July 26, 2022"
중구,60,15,428,23,10,"Sunday, July 31, 2022"
성북구,71,18,401,60,6,"Friday, August 5, 2022"
종로구,79,10,401,54,10,"Wednesday, August 3, 2022"
영등포구,40,11,565,68,11,"Friday, August 5, 2022"
관악구,60,13,419,70,11,"Saturday, August 6, 2022"
